company,website,matched_variant,estimated_revenue,url,domain,name,website_url,linkedin_url,founded_year,annual_revenue_printed,source
Netflix,https://www.netflix.com/,Netflix,$28.6B,https://growjo.com/company/Netflix,https://www.netflix.com/,Netflix,http://www.netflix.com,http://www.linkedin.com/company/netflix,1997,39B,
Microsoft,https://www.microsoft.com/en-us/,Microsoft,$176.3B,https://growjo.com/company/Microsoft,https://www.microsoft.com/en-us/,Microsoft,http://www.microsoft.com,http://www.linkedin.com/company/microsoft,1975,198B,
Snapchat,https://www.snapchat.com/,,<$5M,,https://www.snapchat.com/,Snap Inc.,http://www.snap.com,http://www.linkedin.com/company/snap-inc-co,2011,5.4B,fallback
Shopify,https://www.shopify.com/,Shopify,$4.2B,https://growjo.com/company/Shopify,https://www.shopify.com/,Shopify,http://www.shopify.com,http://www.linkedin.com/company/shopify,2006,8.9B,
Airbnb,https://www.airbnb.com/,Airbnb,$5.3B,https://growjo.com/company/Airbnb,https://www.airbnb.com/,Airbnb,http://www.airbnb.com,http://www.linkedin.com/company/airbnb,2007,9.9B,
OpenAI,https://openai.com/,OpenAI,$3.1B,https://growjo.com/company/OpenAI,https://openai.com/,OpenAI,http://www.openai.com,http://www.linkedin.com/company/openai,2015,3.4B,
Snapchat,https://www.snapchat.com/,,<$5M,,https://www.snapchat.com/,Snap Inc.,http://www.snap.com,http://www.linkedin.com/company/snap-inc-co,2011,5.4B,fallback
Slack,https://slack.com/,Slack,$753.7M,https://growjo.com/company/Slack,https://slack.com/,Slack,http://www.slack.com,http://www.linkedin.com/company/tiny-spec-inc,2009,902.6M,
Zoom,https://www.zoom.com/,Zoom,$3.9B,https://growjo.com/company/Zoom,https://www.zoom.com/,Zoom,http://www.zoom.com,http://www.linkedin.com/company/zoom,2013,4.5B,
Zoom,https://www.zoom.com/,Zoom,$3.9B,https://growjo.com/company/Zoom,https://www.zoom.com/,Zoom,http://www.zoom.com,http://www.linkedin.com/company/zoom,2013,4.5B,
